Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete
[4, 1, 0]	[[22.80798, 36.220819999999996], [-79.6, 211.6], [15.475888500000002, 7.19833]]	0	0.1	1.0	1	1.918784	29	29	0.5	1.918784	0	0	0	0	1
[4, 0, 5]	[[22.80798, 36.220819999999996], [15.475888500000002, 7.19833], [-26.60713, 41.8849255]]	0	0.1	1.0	1	1.918784	29	29	0.5	1.918784	0	0	0	0	1
[4, 1, 0, 5]	[[22.80798, 36.220819999999996], [-79.6, 211.6], [15.475888500000002, 7.19833], [-21.223534, 74.562134]]	0	0.1	1.0	1	2.088614765002752	50	50	0.6666666666666666	2.088614765002752	0	0	0	0	1
[4, 1, 0, 3]	[[22.80798, 36.220819999999996], [-112.0, -79.6], [15.475888500000002, 7.19833], [0.6299999999999999, 2.97]]	0	0.1	1.0	1	4.1011950631655045	109	109	0.6666666666666666	4.1011950631655045	0	0	0	0	1
[4, 1, 0, 2]	[[22.80798, 36.220819999999996], [-79.6, 211.6], [15.475888500000002, 7.19833], [24.4015, 27.0985]]	0	0.1	1.0	1	2.611366194328613	134	134	0.6666666666666666	2.611366194328613	0	0	0	0	1
[4, 0, 1]	[[22.80798, 36.220819999999996], [15.475888500000002, 7.19833], [-112.0, 251.7]]	0	0.1	1.0	1	2.611366194328613	134	134	0.5	2.611366194328613	0	0	0	0	1
[4, 1, 0, 2, 3, 5]	[[22.80798, 36.220819999999996], [-112.0, 607.4000000000001], [15.475888500000002, 7.19833], [19.490000000000002, 25.07], [-0.36000000000000004, 0.792], [-26.60713, 60.41834250000001]]	0	0.1	1.0	1	3.3450508669734917	159	159	1.0	3.3450508669734917	0	0	0	0	1
[0]	[[13.228810999999999, 7.19833]]	0	0.1	1.0	1	4.0	162	162	0.16666666666666666	4.0	0	0	0	0	1
[0, 3, 2, 5, 4]	[[10.255734785977555, 14.9454075], [1.35, 2.25], [24.7895, 30.090500000000002], [67.74542300000002, 26.60713], [27.970855999999998, 42.150144]]	0	0.1	1.0	1	9.0	172	172	0.8333333333333334	9.0	0	0	0	0	1
[1, 2]	[[121.19999999999999, 401.2], [26.2475, 21.13]]	0	0.1	1.0	1	13.01426198528	210	210	0.3333333333333333	13.01426198528	0	0	0	0	1
[4]	[[23.558132, 28.84517]]	0	1.0	1.0	1	529.1854542263827	299942	6679	0.16666666666666666	532.7183941073797	74793	74793	1094	1094	1
[1]	[[40.60000000000002, 365.4]]	0	0.9902810989948702	0.9902810989948702	4	582.154283574436	299979	9921	0.16666666666666666	2313.3627701588066	199607	201566	2952	2981	1
[4]	[[27.61095, 32.40125]]	0	0.991163543530898	0.991163543530898	10	588.7838578735921	299985	12403	0.16666666666666666	6327.072911820385	150641	151984	2247	2267	1
[1]	[[-112.0, 214.2]]	0	1.0	1.0	6	635.7379518296691	299979	36126	0.16666666666666666	3608.7333564908427	156933	156933	2551	2551	1
[0]	[[13.62004, 14.469118976726591]]	0	1.0	1.0	11	510.0477414620112	299973	53562	0.16666666666666666	5784.10243184112	17577	17577	306	306	1
[1]	[[-112.0, 199.8]]	0	1.0	1.0	2	636.2253886648406	299979	73302	0.16666666666666666	1210.1744936829882	121719	121719	2303	2303	1
[4]	[[38.321195176782844, 39.936204000000004]]	1	1.0	1.0	11	189.52239047518736	298686	87691	0.16666666666666666	2084.746295227061	148	148	3	3	1
[4]	[[38.321195176782844, 41.28997139370643]]	1	1.0	1.0	2	158.27318824527242	298686	87981	0.16666666666666666	316.54637649054484	197	197	4	4	1
[5]	[[6.762965999999999, 70.699912]]	0	0.9900561614661099	0.9900561614661099	6	585.3976648961464	299979	98871	0.16666666666666666	3601.6158995415553	130629	131941	2786	2814	1
[0]	[[13.62004, 14.577012120750066]]	0	1.0	1.0	6	503.47402276900283	299973	113693	0.16666666666666666	3302.837819256644	14849	14849	342	342	1
[5, 3]	[[24.593035499999992, 77.568438], [0.6199999999999999, 2.7800000000000002]]	0	1.0	1.0	6	593.4991351000334	299956	123108	0.3333333333333333	3777.443441213676	63002	63002	1528	1528	1
[1]	[[-14.950386697680457, 198.9]]	0	1.0	1.0	2	636.225388664895	299979	124680	0.16666666666666666	1210.1744936838022	93323	93323	2283	2283	1
