R_0 R_1 R_2 R_3 Class
0.2500 1.0000 20.7000 0.0000 0
0.2569 8.0000 20.7000 0.0000 0
0.2639 20.0000 20.8000 0.0000 0
0.2708 76.0000 20.8000 0.0000 0
0.2778 191.0000 21.0000 0.0000 0
0.2847 165.0000 21.2000 0.0000 0
0.2917 281.0000 21.3000 0.0000 0
0.2986 241.0000 21.8000 0.0000 0
0.3056 327.0000 22.2000 0.0000 0
0.3125 296.0000 22.6000 0.0000 0
0.3194 113.0000 22.8000 0.0000 0
0.3264 124.0000 22.6000 0.0000 0
0.3333 178.0000 22.3000 0.0000 0
0.3403 210.0000 22.4000 0.0000 0
0.3472 209.0000 22.6000 0.0000 0
0.3542 209.0000 22.8000 0.0000 0
0.3611 232.0000 22.8000 0.0000 0
0.3681 247.0000 22.9000 0.0000 0
0.3750 276.0000 23.0000 0.0000 0
0.3819 341.0000 23.2000 0.0000 0
0.3889 436.0000 23.6000 0.0000 0
0.3958 611.0000 23.8000 0.0000 0
0.4028 755.0000 23.9000 0.0000 1
0.4097 773.0000 24.3000 0.0000 0
0.4167 795.0000 24.9000 0.0000 0
0.4236 806.0000 25.4000 0.0000 0
0.4306 443.0000 25.7000 0.0000 0
0.4375 124.0000 25.6000 0.0000 0
0.4444 154.0000 26.0000 0.4000 0
0.4514 133.0000 25.9000 1.3000 0
0.4583 204.0000 25.9000 0.0000 0
0.4653 203.0000 26.2000 2.2000 0
0.4722 829.0000 25.6000 1.8000 0
0.4792 960.0000 26.2000 1.8000 1
0.4861 956.0000 26.6000 1.3000 0
0.4931 649.0000 26.4000 1.8000 0
0.5000 374.0000 26.1000 1.3000 0
0.5069 470.0000 25.8000 0.9000 0
0.5139 402.0000 26.2000 2.2000 0
0.5208 264.0000 25.8000 2.2000 0
0.5278 982.0000 25.9000 1.3000 0
0.5347 1088.0000 26.7000 1.8000 1
0.5417 310.0000 26.5000 1.8000 0
0.5486 726.0000 26.2000 2.2000 0
0.5556 621.0000 26.3000 2.2000 0
0.5625 350.0000 26.2000 2.7000 0
0.5694 818.0000 26.0000 2.2000 0
0.5764 677.0000 26.3000 0.9000 1
0.5833 365.0000 26.9000 0.9000 0
0.5903 704.0000 26.7000 2.2000 0
0.5972 493.0000 26.5000 1.8000 0
0.6042 541.0000 26.5000 1.3000 0
0.6111 696.0000 26.6000 1.3000 0
0.6181 403.0000 26.7000 2.7000 0
0.6250 511.0000 26.0000 2.7000 0
0.6319 237.0000 25.7000 3.1000 0
0.6389 324.0000 25.0000 2.2000 0
0.6458 345.0000 24.9000 1.3000 0
0.6528 373.0000 24.6000 0.9000 0
0.6597 218.0000 24.5000 3.1000 0
0.6667 131.0000 25.2000 1.8000 0
0.6736 109.0000 24.9000 0.9000 0
0.6806 87.0000 24.3000 0.9000 0
0.6875 90.0000 24.1000 1.3000 0
0.6944 100.0000 24.1000 0.9000 0
0.7014 93.0000 24.3000 0.9000 0
0.7083 56.0000 26.3000 0.4000 0
0.7153 42.0000 27.1000 0.4000 0
0.7222 25.0000 26.4000 0.4000 0
0.7292 6.0000 25.1000 0.0000 0
0.7361 0.0000 24.0000 0.0000 0
0.7431 0.0000 24.2000 0.0000 0
