Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete
[1, 3]	[[-136.4, -120.21880096982116], [-0.76, 1.71]]	0	0.1	1.0	1	4.9509631999999995	55	55	0.5	4.9509631999999995	0	0	0	0	1
[3, 2, 1]	[[1.814, 4.334], [23.0045, 19.29], [-17.060000000000002, 433.06]]	0	0.1	1.0	1	33.862642272090405	431	431	0.75	33.862642272090405	0	0	0	0	1
[0]	[[0.5890629999999999, 0.29931]]	0	0.1	1.0	1	61.412724437180785	648	648	0.25	61.412724437180785	0	0	0	0	1
[1, 2, 3, 0]	[[-135.07999999999998, 220.79795651881986], [22.93976974925338, 26.0875], [-0.76, 1.178], [0.6043525000000001, 0.29931]]	0	0.1	1.0	1	67.54995304449082	755	755	1.0	67.54995304449082	0	0	0	0	1
[1]	[[-136.4, 170.5]]	0	1.0	1.0	15	729.2812340648466	199999	11764	0.25	10939.218510972698	65399	65399	12816	12816	1
[0]	[[0.534456, 0.771144]]	0	0.9766318683359958	0.9766318683359958	3	717.1405922252818	199988	12396	0.25	2151.4217766758456	78864	80751	15500	15872	1
[1]	[[-119.6, 170.5]]	0	1.0	1.0	6	729.2812340648466	199999	27197	0.25	4375.687404389079	60078	60078	12816	12816	1
[1]	[[-136.4, -136.4]]	0	0.1	1.0	6	735.5030043741236	38043	38043	0.25	4413.018026244742	0	0	0	0	1
[0]	[[0.480032, 0.780823]]	0	0.9647867564534232	0.9647867564534232	1	711.3919784068207	199988	51450	0.25	711.3919784068207	75647	78408	18770	19456	1
[1]	[[-136.4, 119.39384229024702]]	0	1.0	1.0	2	730.3627382949392	199999	54439	0.25	1460.7254765898783	39623	39623	10040	10040	1
[1]	[[-136.4, 135.60814886066245]]	0	1.0	1.0	3	737.2021029727251	199999	54932	0.25	2211.6063089181753	42863	42863	10897	10897	1
[1]	[[-123.8048562859221, 170.5]]	0	1.0	1.0	3	729.2812340648466	199999	66728	0.25	2187.8437021945397	46280	46280	12816	12816	1
[0]	[[0.55418, 0.7514200000000001]]	0	0.9814435885090675	0.9814435885090675	9	718.1683440615727	199988	72103	0.25	6463.515096554154	48923	49848	14070	14336	1
[1]	[[5.6808832025529625, 136.13942219321905]]	0	1.0	1.0	4	732.8676402104865	199999	72167	0.25	2931.470560841946	30505	30505	8802	8802	1
[1]	[[-18.819743494442875, 119.39384229024702]]	0	1.0	1.0	1	730.3627382949392	199999	72681	0.25	730.3627382949392	34651	34651	10040	10040	1
[3]	[[2.3840000000000003, 4.816]]	0	0.9672821069780071	0.9672821069780071	2	627.1133514869147	199937	73370	0.25	1254.2267029738293	14250	14732	4151	4292	1
[3]	[[-0.76, 0.988]]	0	0.9407778195286918	0.9407778195286918	5	644.7935258872228	199999	78081	0.25	3223.9676294361143	70103	74516	21212	22536	1
[0]	[[0.5041905, 0.7458095]]	0	0.9701526623684626	0.9701526623684626	2	714.5141183975417	199988	82906	0.25	1429.0282367950833	55224	56923	17383	17920	1
[1]	[[-136.4, 136.13942219321905]]	0	1.0	1.0	2	737.2021029727251	199999	84082	0.25	1474.4042059454503	34387	34387	10949	10949	1
[1]	[[-52.30648010834355, 119.39384229024702]]	0	1.0	1.0	1	730.3627382949392	199999	86310	0.25	730.3627382949392	30925	30925	10040	10040	1
[2]	[[24.613999999999997, 28.786]]	0	0.9286903291628631	0.9286903291628631	1	693.326988157709	199988	92305	0.25	693.326988157709	51885	55869	17768	19129	1
[3]	[[3.5320000000000005, 6.268000000000001]]	0	0.9798766634209672	0.9798766634209672	1	603.1524429982061	199937	98778	0.25	603.1524429982061	3019	3081	1098	1121	1
[2]	[[25.2885, 29.311500000000002]]	0	0.926278161477526	0.926278161477526	1	685.1383601495464	199988	101802	0.25	685.1383601495464	41978	45319	15762	17019	1
[3]	[[3.05, 4.95]]	0	0.9748607796340494	0.9748607796340494	4	628.2471375417014	199937	102025	0.25	2512.9885501668055	6127	6285	2303	2364	1
[1]	[[-52.30648010834355, 101.81309961112942]]	0	1.0	1.0	3	730.815413115435	199999	102761	0.25	2192.446239346305	23751	23751	9026	9026	1
[1]	[[-87.70000000000002, 135.60814886066245]]	0	1.0	1.0	2	737.2021029727251	199999	102942	0.25	1474.4042059454503	28659	28659	10897	10897	1
[1]	[[555.5, 896.5]]	0	0.8097850425436632	0.8097850425436632	2	713.5999166809057	199948	104506	0.25	1427.1998333618114	14466	17864	5584	6891	1
[1]	[[-136.4, 463.76000000000005]]	0	0.9927090181079304	0.9927090181079304	2	648.2804336570563	199999	105448	0.25	1296.5608673141126	66444	66932	25923	26109	1
