R_0 R_1 R_2 Class
115.0000 20.6000 0.0000 0
114.1000 20.6100 0.0000 0
113.2000 20.6200 0.0000 0
112.3000 20.6300 0.0000 0
111.4000 20.6400 0.0000 0
110.5000 20.6500 0.0000 0
109.6000 20.6600 0.0000 0
108.7000 20.6700 0.0000 0
107.8000 20.6800 0.0000 0
106.9000 20.6900 0.0000 0
106.0000 20.7000 0.0000 0
108.3000 20.6900 0.0000 0
110.6000 20.6800 0.0000 0
112.9000 20.6700 0.0000 0
115.2000 20.6600 0.0000 0
117.5000 20.6500 0.0000 0
119.8000 20.6400 0.0000 0
122.1000 20.6300 0.0000 0
124.4000 20.6200 0.0000 0
126.7000 20.6100 0.0000 0
129.0000 20.6000 0.0000 0
130.1000 20.6000 0.0000 0
131.2000 20.6000 0.0000 0
132.3000 20.6000 0.0000 0
133.4000 20.6000 0.0000 0
134.5000 20.6000 0.0000 0
135.6000 20.6000 0.0000 0
136.7000 20.6000 0.0000 0
137.8000 20.6000 0.0000 0
138.9000 20.6000 0.0000 0
140.0000 20.6000 0.0000 0
153.4000 20.6200 0.0000 0
166.8000 20.6400 0.0000 0
180.2000 20.6600 0.0000 0
193.6000 20.6800 0.0000 0
207.0000 20.7000 0.0000 0
220.4000 20.7200 0.0000 0
233.8000 20.7400 0.0000 0
247.2000 20.7600 0.0000 0
260.6000 20.7800 0.0000 0
274.0000 20.8000 0.0000 0
275.9000 20.8400 0.0000 0
277.8000 20.8800 0.0000 0
279.7000 20.9200 0.0000 0
281.6000 20.9600 0.0000 0
283.5000 21.0000 0.0000 0
285.4000 21.0400 0.0000 0
287.3000 21.0800 0.0000 0
289.2000 21.1200 0.0000 0
291.1000 21.1600 0.0000 0
293.0000 21.2000 0.0000 0
299.7000 21.2200 0.0000 0
306.4000 21.2400 0.0000 0
313.1000 21.2600 0.0000 0
319.8000 21.2800 0.0000 0
326.5000 21.3000 0.0000 0
333.2000 21.3200 0.0000 0
339.9000 21.3400 0.0000 0
346.6000 21.3600 0.0000 0
353.3000 21.3800 0.0000 0
360.0000 21.4000 0.0000 0
371.3000 21.4300 0.0000 0
382.6000 21.4600 0.0000 0
393.9000 21.4900 0.0000 0
405.2000 21.5200 0.0000 0
416.5000 21.5500 0.0000 0
427.8000 21.5800 0.0000 0
439.1000 21.6100 0.0000 0
450.4000 21.6400 0.0000 0
461.7000 21.6700 0.0000 0
473.0000 21.7000 0.0000 0
476.7000 21.7400 0.0000 0
480.4000 21.7800 0.0000 0
484.1000 21.8200 0.0000 0
487.8000 21.8600 0.0000 0
491.5000 21.9000 0.0000 0
495.2000 21.9400 0.0000 0
498.9000 21.9800 0.0000 0
502.6000 22.0200 0.0000 0
506.3000 22.0600 0.0000 0
510.0000 22.1000 0.0000 0
507.4000 22.1700 0.0000 0
504.8000 22.2400 0.0000 0
502.2000 22.3100 0.0000 0
499.6000 22.3800 0.0000 0
497.0000 22.4500 0.0000 0
494.4000 22.5200 0.0000 0
491.8000 22.5900 0.0000 0
489.2000 22.6600 0.0000 0
486.6000 22.7300 0.0000 0
484.0000 22.8000 0.0000 0
481.8000 22.8600 0.0000 0
479.6000 22.9200 0.0000 0
477.4000 22.9800 0.0000 0
475.2000 23.0400 0.0000 0
473.0000 23.1000 0.0000 0
470.8000 23.1600 0.0000 0
468.6000 23.2200 0.0000 0
466.4000 23.2800 0.0000 0
464.2000 23.3400 0.0000 0
462.0000 23.4000 0.0000 0
459.2000 23.4600 0.0000 0
456.4000 23.5200 0.0000 0
453.6000 23.5800 0.0000 0
450.8000 23.6400 0.0000 0
448.0000 23.7000 0.0000 0
445.2000 23.7600 0.0000 0
442.4000 23.8200 0.0000 0
439.6000 23.8800 0.0000 0
436.8000 23.9400 0.0000 0
434.0000 24.0000 0.0000 0
438.6000 24.0300 0.0000 0
443.2000 24.0600 0.0000 0
447.8000 24.0900 0.0000 0
452.4000 24.1200 0.0000 0
457.0000 24.1500 0.0000 0
461.6000 24.1800 0.0000 0
466.2000 24.2100 0.0000 0
470.8000 24.2400 0.0000 0
475.4000 24.2700 0.0000 0
480.0000 24.3000 0.0000 0
495.2000 24.3300 0.0400 0
510.4000 24.3600 0.0800 0
525.6000 24.3900 0.1200 0
540.8000 24.4200 0.1600 0
556.0000 24.4500 0.2000 0
571.2000 24.4800 0.2400 0
586.4000 24.5100 0.2800 0
601.6000 24.5400 0.3200 0
616.8000 24.5700 0.3600 0
632.0000 24.6000 0.4000 0
633.5000 24.6900 0.3600 0
635.0000 24.7800 0.3200 0
636.5000 24.8700 0.2800 0
638.0000 24.9600 0.2400 0
639.5000 25.0500 0.2000 0
641.0000 25.1400 0.1600 0
642.5000 25.2300 0.1200 0
644.0000 25.3200 0.0800 0
645.5000 25.4100 0.0400 0
647.0000 25.5000 0.0000 0
650.0000 25.5100 0.0000 0
653.0000 25.5200 0.0000 0
656.0000 25.5300 0.0000 0
659.0000 25.5400 0.0000 0
662.0000 25.5500 0.0000 0
665.0000 25.5600 0.0000 0
668.0000 25.5700 0.0000 0
671.0000 25.5800 0.0000 0
674.0000 25.5900 0.0000 0
677.0000 25.6000 0.0000 0
673.7000 25.6400 0.0000 0
670.4000 25.6800 0.0000 0
667.1000 25.7200 0.0000 0
663.8000 25.7600 0.0000 0
660.5000 25.8000 0.0000 0
657.2000 25.8400 0.0000 0
653.9000 25.8800 0.0000 0
650.6000 25.9200 0.0000 0
647.3000 25.9600 0.0000 0
644.0000 26.0000 0.0000 0
636.6000 25.9800 0.0000 0
629.2000 25.9600 0.0000 0
621.8000 25.9400 0.0000 0
614.4000 25.9200 0.0000 0
607.0000 25.9000 0.0000 0
599.6000 25.8800 0.0000 0
592.2000 25.8600 0.0000 0
584.8000 25.8400 0.0000 0
577.4000 25.8200 0.0000 0
570.0000 25.8000 0.0000 0
573.1000 25.7600 0.0000 0
