Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete
[1, 3]	[[-136.4, -120.21880096982116], [-0.76, 1.71]]	0	0.1	1.0	1	4.9509631999999995	55	55	0.5	4.9509631999999995	0	0	0	0	1
[3, 2, 1]	[[1.814, 4.334], [23.0045, 19.29], [-17.060000000000002, 433.06]]	0	0.1	1.0	1	33.862642272090405	431	431	0.75	33.862642272090405	0	0	0	0	1
[1]	[[-136.4, 170.5]]	0	1.0	1.0	9	805.4692553190177	409970	11764	0.25	7031.661402923687	138355	138355	12816	12816	1
[0]	[[0.615504, 0.7450995]]	0	0.9960679538236629	0.9960679538236629	4	817.596129382718	409970	110112	0.25	3200.9758086419874	79036	79348	9691	9728	1
[0]	[[0.5749799999999999, 0.7450995]]	0	0.987532611178571	0.987532611178571	12	801.2875536831255	409997	170941	0.25	9340.677039448256	82140	83177	9980	10099	1
[3]	[[2.898, 5.102]]	0	0.9747461426875906	0.9747461426875906	3	679.9512443647333	409997	173877	0.25	2009.2089579596868	14783	15166	1631	1671	1
[0]	[[0.5175940000000001, 0.77293]]	0	0.9738573324549091	0.9738573324549091	4	779.7650024554376	409997	182195	0.25	2945.414081683107	101995	104733	8032	8246	1
[1]	[[-136.4, 156.71066494249848]]	0	1.0	1.0	5	811.1718758772142	409970	200323	0.25	3951.0302802907363	68405	68405	12037	12037	1
[0]	[[0.49836650000000005, 0.77293]]	0	0.9683486102459138	0.9683486102459138	7	788.2842452500558	409997	207980	0.25	5270.948665528107	97932	101133	17851	18432	1
[1]	[[1010.0748952414732, 1057.96]]	1	0.3388203017832647	0.3388203017832647	2	561.4758246804915	407951	227904	0.25	1122.951649360983	247	729	51	149	1
[3]	[[2.574, 4.626]]	0	0.967455190168553	0.967455190168553	1	685.8615250265104	409997	233081	0.25	678.9711328539224	19917	20587	4151	4292	1
[3]	[[-0.04999999999999993, 1.85]]	0	0.9395181815012377	0.9395181815012377	2	727.3170255570478	409985	233158	0.25	1404.8657048657744	134741	143415	28102	29898	1
[1]	[[-136.4, -136.4]]	0	0.1	1.0	6	856.7988759503576	239891	239891	0.25	5140.793255702145	0	0	0	0	1
[2]	[[24.0395, 28.3605]]	0	0.9300362522989911	0.9300362522989911	2	756.4928824407609	409997	245020	0.25	1450.165257627378	87482	94063	19546	21007	1
[0]	[[0.480032, 0.7635645]]	0	0.9646887260858998	0.9646887260858998	8	787.3193462612669	409997	246552	0.25	6759.972883498831	83352	86403	18770	19456	1
[0]	[[0.6031765, 0.7639305]]	0	0.9929808142255498	0.9929808142255498	2	812.199453968061	409997	256307	0.25	1599.4041170627384	44562	44877	10677	10752	1
[1]	[[-119.6, 170.5]]	0	1.0	1.0	3	805.4692553190177	409970	261272	0.25	2343.887134307896	51672	51672	12816	12816	1
[3]	[[3.5320000000000005, 4.632]]	0	0.980135440180587	0.980135440180587	6	683.4482371927962	409997	261595	0.25	3957.3617789459713	4342	4430	1071	1093	1
[1]	[[-136.4, 153.48712316178168]]	0	1.0	1.0	4	811.1718758772142	409970	264016	0.25	3160.824224232589	47090	47090	11890	11890	1
[1]	[[-131.3680055240364, 170.5]]	0	1.0	1.0	4	805.4692553190177	409970	274807	0.25	3125.182845743861	46948	46948	12816	12816	1
[2]	[[19.2885, 23.311500000000002]]	0	0.9817525237326622	0.9817525237326622	5	676.4707221817293	409970	278230	0.25	3376.6920136358085	35886	36553	10040	10228	1
[1]	[[-94.14000000000001, 156.71066494249848]]	0	1.0	1.0	1	811.1718758772142	409970	279594	0.25	790.2060560581473	42535	42535	12037	12037	1
[0]	[[0.4488734999999999, 0.7901885]]	0	0.9598349839211817	0.9598349839211817	2	764.4315294764467	409997	279642	0.25	1499.6383275217127	74918	78053	21135	22016	1
[2]	[[27.065, 31.535]]	0	0.9128507124242732	0.9128507124242732	1	640.7007049201831	409985	280223	0.25	651.6258811502288	26972	29547	7649	8379	1
[2]	[[23.537499999999998, 27.2625]]	0	0.9348111350642047	0.9348111350642047	2	763.0667753021824	409997	282552	0.25	1470.70867281932	59841	64014	17328	18524	1
[1]	[[-52.30648010834355, 156.71066494249848]]	0	1.0	1.0	4	811.1718758772142	409970	283399	0.25	3160.824224232589	41302	41302	12037	12037	1
[0]	[[0.43694249999999996, 0.7574574999999999]]	0	0.9562738857573783	0.9562738857573783	3	764.0170746779718	409997	285051	0.25	2246.421933676551	74816	78237	22036	23040	1
[1]	[[-121.77999999999997, 153.48712316178168]]	0	1.0	1.0	2	811.1718758772142	409970	288159	0.25	1580.4121121162946	39279	39279	11890	11890	1
