InstanceID	R_0	R_1	R_2	Class
608	5319.4284140345635	3358.8026753539657	5233.480708858656	1
5734	9893.639400829941	2458.3729914914907	8031.339391517037	0
5382	6040.008249831213	1073.476387196743	2217.293267566191	0
2282	5500.015007173817	3253.804953932332	4682.426124880133	1
6647	3400.978422427753	1138.8319740495713	2831.5106432209086	0
3528	7149.922716727373	3043.1383454939914	5977.871089524649	1
5947	297.647223187768	621.3851686563098	1732.3304641038637	0
7034	6369.060173344327	1358.0893930600391	4291.227206328538	0
5618	5926.283219861786	662.6821511053463	1923.5722402735798	0
5238	6353.8195139951395	1243.2915529592135	2840.1358353737032	0
3173	8027.720971137604	3633.5743498506304	6873.035655592232	1
4082	839.1265574753254	399.0242840468183	1876.8395470648015	0
4684	4380.088269407628	1194.1798960021808	2082.773508014406	0
5967	5707.001261199743	1764.3719509333814	4747.95556536692	0
2592	6699.883978964492	3738.7542192160645	5945.098130032636	1
5862	6243.531862856095	1147.0523431046338	2633.103471919476	0
6739	5890.2687779700545	269.5135006052768	3760.4528506677616	0
5407	8466.87258533187	1861.5663579578738	6479.271467413747	0
4418	8694.95971461915	1758.5225187987048	4663.8299465353	0
4869	7121.589139872669	1159.9012771570922	2802.670587090802	0
4455	6143.051853151015	1934.57194054819	5875.944648672848	0
2884	4695.357968120353	2680.038988398139	3916.848446237957	1
1488	4845.038928012403	2794.0988773480326	3610.963994072757	1
145	4772.849548158159	3164.157977718414	4876.991043103815	1
257	8510.85263386878	4962.0134971698635	7636.8205975960345	1
3971	8843.856563231486	1805.925608122889	4739.198315644444	0
830	9084.894218200025	4942.661924399081	7879.172354369052	1
141	8721.845659092682	4997.769812823192	7616.006451892946	1
1343	8137.948479455362	4499.229798931635	7293.550172817843	1
6317	4084.4853272614014	1368.9025017874503	4050.36660829316	0
4229	4861.724030938884	1313.8889363403844	3856.6506978056373	0
1467	7634.7238632413455	4630.028742579951	6901.039633393791	1
3315	6689.307348935022	4115.391678263154	6302.240064047567	1
3838	2116.0629367798333	974.0001259344111	1639.267340297957	0
4547	6843.0999447038175	1179.0892712092734	2129.9215380458118	0
240	6374.345486746519	3054.462722316066	5664.183680090797	1
5560	486.29861929946253	546.5657263856975	1397.5232922813534	0
5876	10036.154382553561	2361.7907425665485	7757.00492100332	0
109	8974.727247378767	5331.65761583409	8017.827347041821	1
5497	7403.6000467918775	1775.1800812838062	5202.899914975771	0
1781	5914.417398412247	3771.3507469614838	5747.770612995578	1
3266	8543.769316764166	4349.95565168841	7359.56157184168	1
3050	8100.2364794862715	4790.832212387071	7252.303081428536	1
4429	5528.89522393657	1304.6099267097854	4338.814984769835	0
4797	4770.175044636518	984.1787357611178	2188.962873602903	0
2936	8857.402318608687	4177.978104162679	7590.329761591663	1
4184	6399.611097011	708.0387699719266	2103.877194123567	0
2588	9958.605107802836	5831.961961593411	8688.48938229076	1
6682	5966.895245402765	961.1987202485002	1950.8183474721236	0
3611	736.6422610351384	717.9750160909241	1417.4454464883745	0
4713	952.0955502879676	946.2278289696304	1780.2533099351983	0
6416	8577.714132868357	1872.8696053655187	6346.06556830349	0
2375	8217.548509772432	4509.27807147834	6699.078766541107	1
1059	8111.90214469569	4271.089289886196	7095.5407785800035	1
4551	7925.0278852041565	1506.1941935181792	4016.049481281437	0
3356	5188.699139541369	2962.161752294113	4707.414618463056	1
5608	7254.598135652985	1315.8352636549348	4542.902953805417	0
4176	6408.865305416723	1077.956250556182	2162.0961418067814	0
4638	2996.16111467229	1284.7908487300097	3115.1170211328326	0
5622	6626.212659751808	848.8054947970627	2140.9065023227	0
5139	6645.5300940213965	1108.1124665950454	2315.827965033304	0
2640	8168.166958248088	4557.863533165238	6889.08544514799	1
1018	9156.362289132268	4951.983589805878	7876.425895986564	1
3850	5968.659962218112	1020.6338439516896	2019.4613569392889	0
4997	5555.010021216955	326.465065383772	3146.067649191301	0
987	9144.86391768202	5023.650036486426	7766.417771212199	1
881	7805.644759530509	4250.881250559341	6498.055260011581	1
522	9509.522339577901	5161.726002902839	8083.702787768303	1
2860	9202.010887864486	5067.945987497059	7863.086705127659	1
5046	7374.474328252181	1621.665669941926	5069.063187177387	0
4782	2205.698813134783	1032.1064030661428	1701.3115388917804	0
1548	7486.753092214178	4334.95246012084	6587.003284356047	1
907	8258.105432420243	4665.287616061183	7261.210487083971	1
1127	9403.042296031635	5309.467740417886	8135.482257478705	1
5711	3411.3799639625176	1049.7665717963855	1925.4507304638637	0
5672	2212.1033061462895	787.3747369960494	1743.4362075177698	0
1452	5290.829609705268	3360.8756737589224	5118.774356254322	1
6261	3359.665728570753	986.2702210589196	1944.7559359438765	0
5173	8597.748788402349	773.4647770293791	4730.930254748136	0
2698	6712.292773084036	3952.0236955084306	6003.833473163363	1
1447	6934.4713525884945	2747.527144842578	5764.284970862353	1
2212	2615.4039815359856	1880.4202387816288	3158.9780835797983	1
487	3300.5829481782584	1703.1785648358398	3152.3301965419228	1
7133	921.8578259123649	1099.2807957360378	2159.3798200644455	0
1000	8255.77022230876	4301.006544012545	6982.885280097365	1
2612	8117.553822142571	3934.3199547883846	7023.594555736363	1
26	7254.524761008938	4082.8067820492183	5499.469529102716	1
5009	5943.419293268856	973.1739999952338	2000.2505565180934	0
3196	4619.054564497627	2711.778585302881	4064.8782209489873	1
5559	6372.207288416133	1175.1627672835718	2240.8198628707028	0
4005	1239.6955377253857	866.2918014017864	2163.975639611904	0
3915	2781.8607144760363	1370.5423030742265	3329.3293846239017	0
381	7553.292588387663	3433.5719346343712	6449.305422510477	1
3175	3473.6042209445122	2228.2579395694825	3704.0002631686125	1
1342	5569.345480322928	3279.5806751691807	5050.851324419457	1
2158	7781.14429194681	4397.654556124077	6579.311406179673	1
196	3169.315190430544	1815.1603639050031	3331.761466005981	1
1394	2819.206604745224	2125.0450120219284	3298.425263094267	1
6400	9161.258647931347	1881.864425946931	5419.297690721227	0
4977	261.4970097459938	522.8979355947671	1645.7010279123058	0
2019	9078.606311724658	5245.742332307532	7641.189591188064	1
4815	6443.080290508374	367.8545940061115	2229.4167704786473	0
6586	5483.369880270929	1225.9607436943186	2684.451430852382	0
2948	7130.805058889563	4384.976160230089	6591.836418074131	1
5	8250.244424313105	4664.863886985088	7351.106158659117	1
2276	6692.3797614629375	3933.7856809339282	6210.654204083057	1
5932	3160.906443846891	1183.9362420332554	3452.6773832708654	0
2991	6066.862840078884	3525.5897832933147	5324.43862315972	1
2536	9494.89023736043	5492.777983059959	7934.311972043868	1
5366	6976.329761766726	1036.7118994105003	2408.485312284685	0
6220	7503.043241014785	1455.108530081876	3471.633330779712	0
3070	9571.775146027181	5492.897890989281	8355.223076720915	1
6722	5943.937400582569	700.1996017317592	1926.2882675199694	0
4533	8062.733090774945	1448.5520661665985	4080.087522323368	0
7167	6573.077871134935	1109.4257578548352	2154.0268612150926	0
7039	5861.394775316312	709.7894734156763	1933.0995783516307	0
4624	4819.404969195448	1147.2000210910128	2181.2337184947414	0
1026	2566.454027808806	1660.3444488207817	2900.3616487816703	1
3164	7901.318121976686	4813.890193933447	7258.5286910652785	1
2699	9577.684785731555	5510.101530003201	8244.585301163545	1
772	3461.7344396828757	2099.1958541703216	3632.7507888363966	1
2494	8428.83313454919	4188.601142548743	7245.539812653867	1
1769	9361.204736902464	5458.497404027016	8019.550021083503	1
2284	7593.3275219892985	4640.993314570643	6919.405220196985	1
6156	9004.45013473057	1642.7133981800487	6765.0459847337925	0
4979	6181.435662450456	613.7619374904766	1936.0589284605471	0
3005	9243.32691311409	5349.8437320592075	7958.456805318624	1
4803	4538.440859007332	1639.0336294240835	4607.419019458013	0
6947	3049.692532098725	1034.1176790215723	3429.5219115554028	0
802	5000.189476698734	3264.8960765682405	5047.9153760479285	1
6707	704.5610026282757	1055.8668996816948	2182.9921756553417	0
6195	775.2894189167689	1075.2985338224137	2067.0152594760975	0
6485	7503.4632401879735	1361.7032703150287	5793.805255821191	0
2771	8232.640556934908	4906.843055906815	7327.959641429884	1
533	9698.535659647545	5596.601461033587	8455.328238124985	1
3900	3324.0758037781447	1005.4575800178563	2240.799658599468	0
1303	8904.654775247796	5097.072736112155	7460.250283287367	1
6745	5943.5297515546135	1736.9375637259861	5499.869631953509	0
1183	5143.417050493984	2688.3254136518412	3777.271727223331	1
1317	9749.175307341151	5647.393048112066	8494.867845384319	1
4729	6081.598641047924	1119.1434810723983	5244.291267362279	0
3489	4678.491372378319	2103.000085004333	2930.159162173657	1
3058	4875.435058565448	3186.166538760874	4939.247000572802	1
778	7252.585149078144	4505.158442516773	6845.886475176218	1
6976	6262.834023195602	828.1993167395293	2008.087895153174	0
5416	5953.521169326634	797.0502942232306	1948.423994176452	0
3202	9420.296493551185	5225.378334335159	7982.618345539828	1
2675	5176.221340035354	3375.1015415688566	5190.6654217670675	1
3475	8583.14507024692	5068.167012877439	7549.860289128662	1
2834	3229.9386053961302	2362.5698660531034	3613.2705083961714	1
699	8316.055392852271	4676.281060931293	6631.337455089908	1
5732	6063.939759108739	704.5957963841098	2141.4056000809533	0
5135	5933.900387414145	993.4465330963508	1963.333915518861	0
138	1581.4235962267599	1509.4023319369824	2312.5077886963827	1
1415	8406.73977987973	4293.817090132165	7090.229604759041	1
3364	5594.416630237682	2975.3678306083248	3739.452223624235	1
4074	2671.384577581851	971.7780221090688	1885.5286696841847	0
2978	8169.911706632909	4856.823285465347	7312.7478381284145	1
1080	3040.578833203441	2193.607395800041	3401.271474763382	1
1620	8798.191069018736	4670.715845736488	7449.297315440208	1
6101	6177.490746305829	363.7245350289081	2010.974964822371	0
3014	1714.9585390427785	1436.205480472433	2322.4117454349416	1
4944	1573.104016556996	1341.0750557027168	2668.4370140916785	0
2215	6847.084977675843	3516.085576074516	5235.4836700111255	1
245	6855.791477570224	3575.956293140364	5181.6544452665485	1
1207	9339.941132113088	5241.454684859783	7805.484771346165	1
5765	4045.097155936324	1115.92791430722	2041.7121030427288	0
4030	1487.3704171451675	937.1448025742442	2337.7577469762373	0
1759	5374.378779104816	2066.2878674916155	4829.7994861128755	1
3351	6690.7996154143375	4095.6111131293032	6300.4696546591595	1
3179	5192.494054304943	2734.012373633391	3301.8365395741494	1
1543	9716.188961963866	5604.374632138711	8420.632712218912	1
1646	3563.6977576202594	2165.4498146317787	3721.7529954553634	1
6530	6206.543601083948	690.6886270838028	2115.477924189526	0
5641	6826.496568479261	1139.9477195990946	2100.9785311811047	0
6806	4636.154927924706	1032.362320516115	2169.885702184723	0
4431	5899.916492238181	657.2505608707619	1906.64869952581	0
1903	7644.184385075909	4351.171949380955	5897.846165316303	1
1667	9466.108383432653	5336.135574658598	8112.417830301947	1
2234	2480.2608941812937	1726.7472201378043	2922.834204262013	1
4577	4694.431067714574	826.1693314373595	3481.6654752056593	0
7175	4665.635940841831	1139.338316477267	2088.4568299806206	0
4683	4788.2118555262805	741.5878893789586	2317.005892088289	0
7048	4514.883767883346	924.5189600456723	2146.122924161723	0
3030	5663.394333230815	3028.3289175164346	5141.847074219332	1
6684	4739.973434444742	923.259515627946	2169.3237073357327	0
3158	9540.418983240186	5415.330725483867	8439.343035958584	1
3777	5439.021071689887	879.1865236503775	2193.9087637438543	0
5857	991.0401480827393	807.1421399374041	1460.8225889173243	0
710	3338.7568985214652	2056.874518186839	3565.1533835994514	1
1890	8704.469302743248	4568.192150136744	7532.66056663759	1
6733	6920.868796896226	704.0105781684271	2855.7688610916643	0
3124	838.052108834806	1132.5118029430985	1700.9020864487197	1
4386	7796.469921731392	1106.5241467826645	3810.529720309786	0
3000	3267.5452798894007	2394.5341332135085	3637.450111926308	1
2730	5273.608321355222	3442.4935774574324	5241.046835391156	1
1270	7112.758452848183	4028.2509496654616	6295.565773526877	1
7011	613.7114742630257	498.0909533845901	1563.6955338805162	0
4570	6341.296011037731	569.9510813992828	1976.2776974284427	0
5223	4149.1411605650255	1073.377228802352	3348.242016366161	0
783	8603.729892368901	4914.19549462387	7192.717293453997	1
6298	3430.707765154154	1053.8678416001787	1898.906880052595	0
6468	5886.333337436601	623.9654098492372	1895.455408570436	0
5021	5940.010633538877	1011.4827114120345	1987.2311652768278	0
6374	1925.1389716233195	957.8876623879088	1652.518131445906	0
7017	5875.4849172131435	814.4069863947254	1962.076249654214	0
5567	8283.62483195558	1548.9004962932386	4261.015747400661	0
6292	7092.754167338589	1211.9524302721916	2898.173872510077	0
4007	1146.7480278248054	688.770215823018	1433.204748230967	0
7064	5616.2533021483105	1174.558326707883	3034.401508115033	0
5032	5955.356249330777	1012.3822486618975	2011.2256268144315	0
687	5163.343629934832	3351.8626698325183	5143.116535512992	1
2444	7827.604598761499	4720.02725214859	7082.158345835355	1
5198	1460.141604598344	1166.1690826817537	2668.914914549927	0
3105	4451.334184555331	2451.71824317301	4392.039004044797	1
668	9931.046896472388	5774.8248097237765	8637.353841765338	1
50	1446.296082648019	1231.6273709103486	2056.490069939028	1
6518	6084.423069032052	780.0874122175095	2174.4670425589616	0
1559	7131.866934863136	3597.4875628994478	5785.852020604169	1
3115	9395.154513293612	5041.184487009429	8158.404131935582	1
1899	6451.666838526839	3673.539212236079	5472.496311603509	1
1494	9472.77564459234	5481.481439511141	8223.97777564259	1
1513	8509.803797040644	4942.756030431426	7569.322518635406	1
3647	2686.736143614204	949.6417690014227	1680.138300069784	0
3975	605.993464732735	937.7108844472953	1989.7890081614748	0
4527	6068.425911598094	858.461689943056	3550.062815040201	0
7015	8168.054501924105	1896.1309968907801	6964.132589524163	0
4019	2870.42802379206	983.2323275911413	1800.2484689636944	0
3089	5964.749062399075	3331.5340931421283	5619.4994410440995	1
144	6561.762043437851	3783.362527071209	5619.112789519381	1
6383	7677.4223786336015	1302.9999675020315	5785.748627429361	0
6079	6087.399793559709	1044.3990531530358	2139.486794504821	0
4248	2059.201098500002	860.2405693852626	1588.1744119499133	0
1871	6365.480345603713	4031.012410883667	6125.250267894167	1
4369	4821.42753887794	1188.9145381722788	2529.9162587444794	0
5771	4666.421009589335	1067.9716044440408	2063.1186326496722	0
2050	8933.457446848706	5122.017866050477	7798.12705107601	1
6016	8992.661567595609	1744.4295843200032	6362.41199757343	0
4069	593.2031459394959	852.1435671454848	1653.7715802625773	0
1805	9788.910555641789	5390.600760668585	8243.616380461404	1
4573	4249.429226631238	1021.5920035011225	2100.022133700581	0
4863	4445.8942547467	1267.4358391085361	3287.2933852383026	0
2318	7661.233785253745	4222.72516093625	6813.865049603127	1
6897	9677.753844246106	2186.743443392231	7549.313996336858	0
628	5846.615669049378	2784.0803268365016	5128.100336118438	1
2389	10000.14728786087	5751.32185322608	8458.66497379282	1
2921	5135.70822024156	3101.833274160543	5009.425859529858	1
3699	983.7648961217959	869.5281828451238	1493.3161138537175	0
6885	7063.602031337898	1127.2119449193206	4711.495685349296	0
689	9139.321805783207	5016.614991555846	7590.858358719837	1
6896	6846.143724296049	701.9110752853733	2319.7266077517947	0
3136	1943.2890916903493	1097.7678995723306	2298.452436183314	1
4223	4102.326840894009	1091.3370471152089	2091.179688301898	0
6333	545.9119381626982	612.24888897559	1743.115487903099	0
4399	312.12631905131576	472.87068411509944	1286.8684500631937	0
3756	6388.463523933246	1035.1629425840063	2198.888076806547	0
2402	7057.887407117284	4259.021768064075	6617.900514057833	1
2727	8883.786104246243	4685.033272938241	7645.868904403094	1
334	3184.624613637593	2046.1145781287767	3369.9914888647377	1
239	5245.631396863473	3412.881744762223	5220.738939429144	1
3688	6233.0672970474825	1152.4426379656074	2639.9720916754163	0
5715	7104.3169224635885	1746.2208210012993	6377.604574490222	0
4073	6161.386319666826	700.4012360924942	2138.7372087771287	0
1205	6683.370585057901	4181.565807546022	6318.850069129412	1
5487	5778.526645487275	1189.22840277776	4153.656130429369	0
2416	7511.5846463282705	4410.879052155301	6663.63948848644	1
5510	4450.82517147724	1149.4008441253457	2107.1623759568047	0
1818	7860.187311460468	4469.594019705954	7000.775931270682	1
6338	6479.362028054785	672.975696832417	2487.991128902635	0
2939	9720.157026249197	5621.872607019066	8628.407803853812	1
5601	3870.250469088816	1130.7877402808367	2400.9934465073097	0
5090	5941.714139136275	916.4702973167143	1989.7896267020199	0
1449	9136.685385054754	5284.981437956345	7827.574946618936	1
5484	6956.806724308239	1036.6405907565509	2842.942106336599	0
1525	9284.016361690059	5188.8814279154285	8031.1999089280625	1
2674	5987.018506402459	3129.40574296678	5394.489705268998	1
5671	5864.7190490146195	710.2614280017999	1931.9042240566052	0
1951	3275.1030543374077	2263.2909056710446	3593.6940511026905	1
6455	6602.746227470968	1121.5778147213114	2338.3271430620257	0
6678	6372.731026969689	882.2022944837697	2037.7813088593762	0
6766	6412.618703915554	1049.270674426665	2032.0014952971444	0
3371	4244.971252383426	2603.4287423861406	4217.327670526368	1
1289	5585.613639643611	3628.408802177838	5575.408727371579	1
4982	5272.782520492117	945.5936321780683	2525.313644118216	0
1428	1741.0036452390725	1517.8729671617803	2372.920727361769	1
3862	6178.634156403109	1054.8530375057733	2451.9505192292304	0
3325	9335.272335143416	5172.976758816438	8074.254732367307	1
5498	5027.027646300285	1568.944793765599	4821.725730243831	0
4052	6249.620456117674	639.1356940307081	1981.5037186032548	0
914	7115.317542437156	4304.706666517709	6517.345745336903	1
