Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete
[0, 2]	[[670.0074999999999, 118.07000000000001], [-0.7050000000000001, 2.38075]]	0	0.03333333333333333	0.3333333333333333	1	2.65184	36	36	0.6666666666666666	2.65184	0	0	0	0	1
[0, 2, 1]	[[670.0074999999999, 118.07000000000001], [-0.7050000000000001, 2.95875], [24.88, 30.44]]	0	0.03333333333333333	0.3333333333333333	1	2.65184	36	36	1.0	2.65184	0	0	0	0	1
[0, 2]	[[186.02499999999998, 118.07000000000001], [-0.5682499999999999, 3.16825]]	0	0.05294117647058824	0.5294117647058824	1	7.7320855945216	83	83	0.6666666666666666	7.7320855945216	0	0	0	0	1
[0]	[[-118.07000000000001, 155.29100000000003]]	0	1.0	1.0	14	510.7578793153094	309996	728	0.3333333333333333	71589.10212993436	55976	55976	1303	1303	1
[0]	[[-118.07000000000001, 165.29800000000003]]	0	1.0	1.0	6	509.98986567848067	309996	5338	0.3333333333333333	3059.939194070884	57034	57034	1348	1348	1
[0]	[[-105.5875, 189.5875]]	0	0.9940065171851967	0.9940065171851967	5	504.053962513848	309996	61087	0.3333333333333333	2520.26981256924	51247	51556	1482	1491	1
[0]	[[-2.2365000000000066, 113.19069560726301]]	0	1.0	1.0	1	509.88416212758904	309996	93625	0.3333333333333333	509.88416212758904	32388	32388	1078	1078	1
[0]	[[-75.77867078431332, 106.92422725112311]]	0	1.0	1.0	2	509.88413390865634	309996	142290	0.3333333333333333	1019.7682678173127	24143	24143	1037	1037	1
[0]	[[-28.28967234581954, 106.92422725112311]]	0	1.0	1.0	2	509.88413390865634	309996	145407	0.3333333333333333	1019.7682678173127	23704	23704	1037	1037	1
[0, 2]	[[1114.1998688548026, 1200.182], [-0.7050000000000001, 2.283]]	1	1.0	1.0	8	361.2062161383544	309204	145729	0.6666666666666666	2889.6497291068354	138	138	6	6	1
[2, 0]	[[2.319, 4.72875], [84.12849999999997, 485.2505]]	0	1.0	1.0	3	508.6242555572649	309965	146125	0.6666666666666666	1525.8727666717948	6050	6050	265	265	1
[2, 0]	[[2.50725, 5.8353430239997], [470.7342466838793, 627.2995000000001]]	0	1.0	1.0	6	430.4842458908822	309853	155736	0.6666666666666666	2582.9054753452933	1264	1264	59	59	1
[0]	[[-118.07000000000001, 160.0875]]	0	1.0	1.0	3	509.98986651522193	309996	156600	0.3333333333333333	1529.969599545666	28349	28349	1331	1331	1
[0, 2]	[[151.5285, 355.29100000000005], [1.099, 3.20325]]	0	1.0	1.0	5	491.5670584021401	309965	175522	0.6666666666666666	2457.8352920107004	7616	7616	408	408	1
[0]	[[-5.749525557751504, 152.13078342510119]]	0	1.0	1.0	4	510.75788527008325	309996	188021	0.3333333333333333	2043.031541080333	21823	21823	1288	1288	1
[0]	[[-75.77867078431332, 190.5085]]	0	0.9935043304463691	0.9935043304463691	1	504.053962513848	309996	194591	0.3333333333333333	504.053962513848	23860	24016	1488	1498	1
[0]	[[34.09148644310824, 106.92422725112311]]	0	1.0	1.0	1	545.9439614594123	309996	204685	0.3333333333333333	545.9439614594123	6748	6748	462	462	1
[2, 0]	[[2.3719847082243675, 5.306747079497678], [998.3631932650602, 1061.2085]]	1	1.0	1.0	7	388.06220184647515	309931	212951	0.6666666666666666	2716.435412925326	232	232	17	17	1
[0]	[[-45.46138102810858, 157.5875]]	0	1.0	1.0	2	510.7578792900751	309996	223979	0.3333333333333333	1021.5157585801502	15731	15731	1316	1316	1
[0]	[[11.13101483019404, 172.4601426078262]]	0	0.9989993328885924	0.9989993328885924	2	521.8094426564036	309996	224725	0.3333333333333333	1043.6188853128072	11980	11992	1013	1014	1
