R_0 R_1 R_2 Class
29.0000 21.1000 0.0000 0
30.9000 21.0900 0.0000 0
32.8000 21.0800 0.0000 0
34.7000 21.0700 0.0000 0
36.6000 21.0600 0.0000 0
38.5000 21.0500 0.0000 0
40.4000 21.0400 0.0000 0
42.3000 21.0300 0.0000 0
44.2000 21.0200 0.0000 0
46.1000 21.0100 0.0000 0
48.0000 21.0000 0.0000 0
48.4000 20.9900 0.0000 0
48.8000 20.9800 0.0000 0
49.2000 20.9700 0.0000 0
49.6000 20.9600 0.0000 0
50.0000 20.9500 0.0000 0
50.4000 20.9400 0.0000 0
50.8000 20.9300 0.0000 0
51.2000 20.9200 0.0000 0
51.6000 20.9100 0.0000 0
52.0000 20.9000 0.0000 0
53.1000 20.9000 0.0000 0
54.2000 20.9000 0.0000 0
55.3000 20.9000 0.0000 0
56.4000 20.9000 0.0000 0
57.5000 20.9000 0.0000 0
58.6000 20.9000 0.0000 0
59.7000 20.9000 0.0000 0
60.8000 20.9000 0.0000 0
61.9000 20.9000 0.0000 0
63.0000 20.9000 0.0000 0
63.5000 20.9000 0.0000 0
64.0000 20.9000 0.0000 0
64.5000 20.9000 0.0000 0
65.0000 20.9000 0.0000 0
65.5000 20.9000 0.0000 0
66.0000 20.9000 0.0000 0
66.5000 20.9000 0.0000 0
67.0000 20.9000 0.0000 0
67.5000 20.9000 0.0000 0
68.0000 20.9000 0.0000 0
68.9000 20.9100 0.0000 0
69.8000 20.9200 0.0000 0
70.7000 20.9300 0.0000 0
71.6000 20.9400 0.0000 0
72.5000 20.9500 0.0000 0
73.4000 20.9600 0.0000 0
74.3000 20.9700 0.0000 0
75.2000 20.9800 0.0000 0
76.1000 20.9900 0.0000 0
77.0000 21.0000 0.0000 0
78.1000 21.0000 0.0000 0
79.2000 21.0000 0.0000 0
80.3000 21.0000 0.0000 0
81.4000 21.0000 0.0000 0
82.5000 21.0000 0.0000 0
83.6000 21.0000 0.0000 0
84.7000 21.0000 0.0000 0
85.8000 21.0000 0.0000 0
86.9000 21.0000 0.0000 0
88.0000 21.0000 0.0000 0
89.9000 21.0100 0.0000 0
91.8000 21.0200 0.0000 0
93.7000 21.0300 0.0000 0
95.6000 21.0400 0.0000 0
97.5000 21.0500 0.0000 0
99.4000 21.0600 0.0000 0
101.3000 21.0700 0.0000 0
103.2000 21.0800 0.0000 0
105.1000 21.0900 0.0000 0
107.0000 21.1000 0.0000 0
110.2000 21.1300 0.0000 0
113.4000 21.1600 0.0000 0
116.6000 21.1900 0.0000 0
119.8000 21.2200 0.0000 0
123.0000 21.2500 0.0000 0
126.2000 21.2800 0.0000 0
129.4000 21.3100 0.0000 0
132.6000 21.3400 0.0000 0
135.8000 21.3700 0.0000 0
139.0000 21.4000 0.0000 0
142.1000 21.4200 0.0000 0
145.2000 21.4400 0.0000 0
148.3000 21.4600 0.0000 0
151.4000 21.4800 0.0000 0
154.5000 21.5000 0.0000 0
157.6000 21.5200 0.0000 0
160.7000 21.5400 0.0000 0
163.8000 21.5600 0.0000 0
166.9000 21.5800 0.0000 0
170.0000 21.6000 0.0000 0
165.5000 21.6200 0.0000 0
161.0000 21.6400 0.0000 0
156.5000 21.6600 0.0000 0
152.0000 21.6800 0.0000 0
147.5000 21.7000 0.0000 0
143.0000 21.7200 0.0000 0
138.5000 21.7400 0.0000 0
134.0000 21.7600 0.0000 0
129.5000 21.7800 0.0000 0
125.0000 21.8000 0.0000 0
127.6000 21.8100 0.0000 0
130.2000 21.8200 0.0000 0
132.8000 21.8300 0.0000 0
135.4000 21.8400 0.0000 0
138.0000 21.8500 0.0000 0
140.6000 21.8600 0.0000 0
143.2000 21.8700 0.0000 0
145.8000 21.8800 0.0000 0
148.4000 21.8900 0.0000 0
151.0000 21.9000 0.0000 0
163.0000 21.9200 0.0000 0
175.0000 21.9400 0.0000 0
187.0000 21.9600 0.0000 0
199.0000 21.9800 0.0000 0
211.0000 22.0000 0.0000 0
223.0000 22.0200 0.0000 0
235.0000 22.0400 0.0000 0
247.0000 22.0600 0.0000 0
259.0000 22.0800 0.0000 0
271.0000 22.1000 0.0000 0
286.2000 22.1500 0.0000 1
301.4000 22.2000 0.0000 0
316.6000 22.2500 0.0000 0
331.8000 22.3000 0.0000 0
347.0000 22.3500 0.0000 0
362.2000 22.4000 0.0000 0
377.4000 22.4500 0.0000 0
392.6000 22.5000 0.0000 0
407.8000 22.5500 0.0000 0
423.0000 22.6000 0.0000 1
420.4000 22.6400 0.0000 0
417.8000 22.6800 0.0000 0
415.2000 22.7200 0.0000 0
412.6000 22.7600 0.0000 0
410.0000 22.8000 0.0000 0
407.4000 22.8400 0.0000 0
404.8000 22.8800 0.0000 0
402.2000 22.9200 0.0000 1
