Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete
[0]	[[-130.06, 460.138]]	0	0.771073276581539	0.771073276581539	3	1174.510521160669	49990	96	0.3333333333333333	3485.9340037613165	18478	23964	3734	4843	1
[0, 1, 2]	[[532.2860000000001, 1257.641], [23.691200000000002, 19.236], [0.23829999999999996, 3.3617]]	1	0.09166666666666667	0.9166666666666666	1	12.71455488	128	128	1.0	12.71455488	0	0	0	0	1
[0, 2]	[[-130.06, 344.1789235480264], [2.1741, 5.0259]]	0	1.0	1.0	4	1192.7711813638573	49884	142	0.6666666666666666	4771.084725455429	1745	1745	352	352	1
[0, 1]	[[-130.06, 326.111], [23.4562, 29.343799999999998]]	0	0.8973544973544973	0.8973544973544973	1	1184.594276799606	49977	142	0.6666666666666666	1198.95757187423	8480	9450	1714	1911	1
[0, 1, 2]	[[532.2860000000001, 1257.641], [23.691200000000002, 19.236], [-0.679, 2.5654000000000003]]	1	0.0803921568627451	0.803921568627451	1	17.580667507525682	180	180	1.0	17.580667507525682	0	0	0	0	1
[0, 1, 2]	[[532.2860000000001, 130.06], [24.562154670730663, 33.1688], [0.1796500000000001, 2.42035]]	1	0.07681159420289856	0.7681159420289855	1	23.313812633283664	223	223	1.0	23.313812633283664	0	0	0	0	1
[0, 1]	[[-130.06, 326.111], [22.997799999999998, 27.1622]]	0	0.8833314081090448	0.8833314081090448	1	1179.1770640611799	49977	238	0.6666666666666666	1184.1895782444917	7647	8657	1546	1752	1
[0]	[[253.178, 1215.6219999999998]]	1	0.6648648648648648	0.6648648648648648	3	1184.6917744350055	49986	250	0.3333333333333333	3570.5179544220487	23985	36075	4861	7310	1
[0, 2]	[[253.178, 130.06], [-0.679, 2.1049]]	1	0.07692307692307693	0.7692307692307693	1	26.924223488000003	274	274	0.6666666666666666	26.924223488000003	0	0	0	0	1
[0, 1, 2]	[[532.2860000000001, 1257.641], [23.691200000000002, 19.236], [-0.28590000000000004, 2.5659]]	1	0.0774436090225564	0.7744360902255639	1	44.91117621319471	424	424	1.0	44.91117621319471	0	0	0	0	1
[1, 0]	[[22.997799999999998, 29.343799999999998], [-130.06, 254.599]]	0	0.9487437185929648	0.9487437185929648	2	1176.037475932068	49977	431	0.6666666666666666	2391.112675449551	7552	7960	1536	1619	1
[0, 1]	[[1085.7647204841574, 1273.3192273532604], [25.5094, 19.236]]	1	0.1	1.0	1	19.5	530	530	0.6666666666666666	19.5	0	0	0	0	1
[0]	[[569.993, 130.06]]	0	0.05416666666666667	0.5416666666666666	1	50.47995963989403	537	537	0.3333333333333333	50.47995963989403	0	0	0	0	1
[0, 1, 2]	[[-130.06, 326.111], [17.95701333679511, 19.715200000000003], [-0.679, 2.00305]]	0	1.0	1.0	1	993.0390888776626	49376	559	1.0	993.0390888776626	309	309	63	63	1
[0]	[[-130.06, 344.1789235480264]]	0	0.860419798452202	0.860419798452202	7	1159.4074780193191	49990	762	0.3333333333333333	8084.69029818172	15454	17961	3167	3680	1
[0, 1]	[[354.305, 130.06], [25.246, 29.554]]	1	0.08333333333333334	0.8333333333333334	1	78.15024470769664	764	764	0.6666666666666666	78.15024470769664	0	0	0	0	1
[2]	[[-0.679, 1.52775]]	0	0.4851426253886711	0.4851426253886711	3	1152.134435611124	49990	820	0.3333333333333333	3528.1498215994725	17943	36985	3678	7581	1
[0]	[[-10.449999999999989, 639.8499999999999]]	0	0.6475556228242773	0.6475556228242773	4	1181.7950050996255	49990	842	0.3333333333333333	4664.797904482494	21392	33035	4388	6775	1
[0]	[[25.740999999999985, 715.059]]	1	0.4356473796537823	0.4356473796537823	1	1189.9404814542843	49976	892	0.3333333333333333	1166.136176368161	14697	33736	3016	6923	1
[1]	[[22.883200000000002, 26.616799999999998]]	1	0.5040660791075914	0.5040660791075914	3	1190.955290284385	49976	926	0.3333333333333333	3577.4715297032326	11839	23487	2429	4824	1
[0]	[[151.383, 658.617]]	0	0.51092809629395	0.51092809629395	2	1192.1095158558323	49990	953	0.3333333333333333	2352.9578767379016	12904	25256	2651	5190	1
[0]	[[-72.68999999999997, 317.49]]	0	0.885203153426319	0.885203153426319	5	1154.4147552513234	49977	954	0.3333333333333333	5713.832461564006	14597	16490	3003	3392	1
[0]	[[7.365000000000009, 592.635]]	1	0.34625423250564336	0.34625423250564336	1	1181.595367382991	49976	971	0.3333333333333333	1165.0095426022478	9817	28352	2020	5831	1
[1]	[[23.326, 27.634]]	1	0.5306374652432116	0.5306374652432116	1	1205.3877054958107	49986	987	0.3333333333333333	1206.0246716206316	15458	29131	3177	5991	1
[1]	[[20.0284, 28.9316]]	0	0.5032924241429853	0.5032924241429853	3	1186.029679872628	49990	1011	0.3333333333333333	3574.320314037109	23006	45711	4733	9404	1
[0]	[[-130.06, 361.15]]	0	0.8456655108028808	0.8456655108028808	1	1159.4114996814271	49990	1038	0.3333333333333333	1154.965575394109	15852	18745	3267	3862	1
[2]	[[-0.679, 0.9166500000000001]]	1	0.5068764967499144	0.5068764967499144	4	1159.6229468356858	49986	1079	0.3333333333333333	4674.554272153795	14816	29230	3052	6023	1
