R_0 R_1 R_2 R_3 Class
0.2500 3.0000 21.4000 0.0000 0
0.2569 9.0000 21.3000 0.0000 0
0.2639 18.0000 21.3000 0.0000 0
0.2708 31.0000 21.1000 0.0000 0
0.2778 59.0000 20.9000 0.0000 0
0.2847 76.0000 21.3000 0.0000 0
0.2917 64.0000 21.5000 0.0000 0
0.2986 205.0000 21.7000 0.0000 0
0.3056 264.0000 22.1000 0.0000 0
0.3125 296.0000 22.4000 0.0000 0
0.3194 334.0000 22.8000 0.0000 0
0.3264 277.0000 23.3000 0.0000 0
0.3333 376.0000 23.7000 0.0000 0
0.3403 377.0000 23.8000 0.0000 0
0.3472 433.0000 23.8000 0.0000 0
0.3542 205.0000 23.8000 0.0000 0
0.3611 487.0000 23.8000 0.0000 1
0.3681 530.0000 24.2000 0.0000 0
0.3750 576.0000 24.6000 0.0000 0
0.3819 543.0000 24.7000 0.0000 0
0.3889 561.0000 24.9000 0.0000 0
0.3958 653.0000 25.1000 0.0000 1
0.4028 666.0000 25.5000 0.0000 0
0.4097 689.0000 26.0000 0.0000 0
0.4167 645.0000 26.2000 0.0000 0
0.4236 749.0000 26.3000 0.0000 1
0.4306 759.0000 26.5000 0.4000 1
0.4375 542.0000 26.7000 0.0000 0
0.4444 136.0000 27.3000 0.0000 0
0.4514 122.0000 27.6000 0.0000 0
0.4583 169.0000 27.7000 0.0000 0
0.4653 196.0000 27.8000 2.2000 0
0.4722 170.0000 27.1000 1.3000 0
0.4792 324.0000 27.3000 0.9000 0
0.4861 737.0000 27.7000 1.3000 0
0.4931 437.0000 27.2000 1.8000 0
0.5000 708.0000 27.0000 1.3000 1
0.5069 782.0000 27.4000 1.3000 0
0.5139 337.0000 27.3000 0.9000 0
0.5208 281.0000 26.9000 1.8000 0
0.5278 842.0000 26.9000 0.9000 0
0.5347 857.0000 27.3000 1.3000 0
0.5417 849.0000 27.6000 0.9000 1
0.5486 694.0000 27.6000 1.3000 0
0.5556 852.0000 27.6000 1.3000 0
0.5625 830.0000 27.8000 1.3000 0
0.5694 764.0000 27.8000 0.9000 1
0.5764 699.0000 27.9000 1.3000 0
0.5833 650.0000 27.7000 1.3000 0
0.5903 647.0000 27.6000 1.8000 0
0.5972 629.0000 27.6000 0.9000 0
0.6042 576.0000 27.7000 0.9000 1
0.6111 547.0000 27.8000 0.9000 0
0.6181 496.0000 27.5000 0.9000 0
0.6250 467.0000 27.3000 1.3000 0
0.6319 430.0000 27.3000 0.9000 0
0.6389 406.0000 27.6000 0.4000 0
0.6458 356.0000 27.4000 0.9000 0
0.6528 324.0000 27.2000 0.9000 0
0.6597 292.0000 26.9000 0.9000 0
0.6667 228.0000 26.7000 0.9000 0
0.6736 192.0000 26.6000 0.9000 0
0.6806 159.0000 26.5000 0.9000 0
0.6875 125.0000 26.2000 0.9000 0
0.6944 101.0000 25.9000 1.3000 0
0.7014 92.0000 25.8000 0.4000 0
0.7083 98.0000 25.8000 0.4000 0
0.7153 77.0000 25.6000 0.4000 0
0.7222 40.0000 25.3000 0.9000 0
0.7292 17.0000 24.9000 0.9000 0
0.7361 5.0000 24.6000 0.4000 0
0.7431 0.0000 24.4000 0.0000 0
