R_0 R_1 R_2 R_3 Class
0.2500 6.0000 23.0000 0.0000 0
0.2569 14.0000 23.0000 0.0000 0
0.2639 25.0000 23.1000 0.0000 0
0.2708 46.0000 23.1000 0.0000 0
0.2778 87.0000 23.3000 0.0000 0
0.2847 120.0000 23.5000 0.0000 0
0.2917 177.0000 23.6000 0.0000 0
0.2986 210.0000 23.7000 0.0000 0
0.3056 245.0000 23.9000 0.0000 0
0.3125 288.0000 24.2000 0.0000 0
0.3194 249.0000 24.2000 0.0000 0
0.3264 185.0000 24.1000 0.0000 0
0.3333 184.0000 24.2000 0.0000 0
0.3403 129.0000 24.5000 0.0000 0
0.3472 156.0000 24.6000 0.0000 0
0.3542 214.0000 24.6000 0.0000 0
0.3611 289.0000 24.7000 0.0000 0
0.3681 305.0000 24.8000 0.4000 0
0.3750 256.0000 24.9000 1.3000 0
0.3819 253.0000 24.6000 2.2000 0
0.3889 113.0000 24.4000 1.3000 0
0.3958 91.0000 24.1000 0.9000 0
0.4028 162.0000 23.9000 2.2000 0
0.4097 254.0000 23.9000 1.3000 0
0.4167 519.0000 24.3000 1.3000 0
0.4236 620.0000 25.0000 2.7000 0
0.4306 745.0000 25.4000 2.2000 0
0.4375 517.0000 25.7000 2.7000 0
0.4444 346.0000 26.1000 2.2000 0
0.4514 330.0000 25.8000 1.8000 0
0.4583 302.0000 25.4000 2.7000 0
0.4653 352.0000 25.4000 2.2000 0
0.4722 290.0000 25.6000 1.3000 0
0.4792 423.0000 25.4000 1.8000 0
0.4861 659.0000 25.8000 1.8000 0
0.4931 259.0000 26.4000 1.3000 0
0.5000 710.0000 26.6000 2.7000 0
0.5069 838.0000 26.8000 1.3000 0
0.5139 246.0000 26.7000 0.9000 0
0.5208 554.0000 26.4000 1.8000 0
0.5278 502.0000 27.0000 2.2000 0
0.5347 360.0000 27.3000 1.3000 0
0.5417 891.0000 27.6000 3.1000 0
0.5486 961.0000 27.4000 1.8000 1
0.5556 506.0000 27.4000 2.2000 0
0.5625 756.0000 27.5000 1.8000 0
0.5694 500.0000 27.7000 1.8000 0
0.5764 409.0000 27.7000 1.3000 0
0.5833 397.0000 27.5000 2.2000 0
0.5903 472.0000 27.4000 2.7000 0
0.5972 628.0000 27.9000 2.7000 0
0.6042 483.0000 27.8000 3.1000 0
0.6111 765.0000 27.9000 2.7000 0
0.6181 480.0000 27.9000 1.8000 0
0.6250 646.0000 28.3000 0.9000 0
0.6319 331.0000 28.4000 1.3000 0
0.6389 363.0000 28.2000 3.1000 0
0.6458 494.0000 27.8000 1.8000 0
0.6528 358.0000 27.9000 0.4000 0
0.6597 433.0000 27.9000 0.9000 0
0.6667 381.0000 27.9000 0.9000 0
0.6736 339.0000 27.8000 0.4000 0
0.6806 151.0000 28.0000 0.4000 0
0.6875 106.0000 28.3000 0.4000 0
0.6944 90.0000 27.8000 0.9000 0
0.7014 62.0000 27.3000 0.4000 0
0.7083 78.0000 27.2000 0.4000 0
0.7153 81.0000 27.2000 0.4000 0
0.7222 66.0000 27.2000 0.4000 0
0.7292 25.0000 27.1000 0.9000 0
0.7361 17.0000 26.7000 0.4000 0
0.7431 11.0000 26.4000 0.0000 0
0.2500 1.0000 21.2000 0.0000 0
0.2569 9.0000 21.3000 0.0000 0
0.2639 19.0000 21.4000 0.0000 0
0.2708 31.0000 21.3000 0.0000 0
0.2778 43.0000 21.3000 0.0000 0
0.2847 42.0000 21.3000 0.0000 0
0.2917 48.0000 21.3000 0.0000 0
0.2986 85.0000 21.4000 0.0000 0
0.3056 133.0000 21.5000 0.0000 0
0.3125 236.0000 21.7000 0.0000 0
0.3194 261.0000 21.9000 0.0000 0
0.3264 329.0000 22.3000 0.0000 0
0.3333 384.0000 22.8000 0.0000 0
0.3403 409.0000 23.2000 0.0000 0
0.3472 110.0000 23.8000 0.0000 0
0.3542 219.0000 24.3000 0.0000 0
0.3611 123.0000 24.7000 0.0000 0
0.3681 117.0000 24.9000 0.0000 0
0.3750 116.0000 25.1000 0.0000 0
0.3819 118.0000 25.4000 0.4000 0
0.3889 121.0000 25.8000 0.0000 0
0.3958 128.0000 26.2000 0.0000 0
0.4028 123.0000 26.2000 0.0000 0
0.4097 138.0000 26.2000 0.4000 0
0.4167 295.0000 26.3000 0.4000 0
0.4236 148.0000 26.7000 0.4000 0
0.4306 133.0000 27.2000 0.0000 0
0.4375 99.0000 28.1000 0.0000 0
0.4444 108.0000 28.7000 0.4000 0
0.4514 128.0000 28.6000 0.4000 0
0.4583 156.0000 28.1000 0.9000 0
0.4653 185.0000 28.1000 2.2000 0
0.4722 356.0000 27.8000 2.2000 0
0.4792 667.0000 27.6000 0.9000 0
0.4861 211.0000 28.0000 1.8000 0
0.4931 190.0000 28.1000 1.8000 0
0.5000 167.0000 28.0000 1.3000 0
0.5069 171.0000 27.8000 1.8000 0
0.5139 149.0000 27.8000 1.3000 0
0.5208 199.0000 27.7000 1.3000 0
0.5278 201.0000 27.8000 1.3000 0
0.5347 172.0000 27.9000 1.3000 0
0.5417 161.0000 27.7000 1.3000 0
0.5486 194.0000 27.7000 1.3000 0
0.5556 201.0000 28.1000 1.3000 0
0.5625 204.0000 28.4000 1.3000 0
0.5694 192.0000 28.8000 1.3000 0
0.5764 233.0000 28.8000 1.3000 0
0.5833 154.0000 28.9000 2.2000 0
0.5903 171.0000 28.5000 2.7000 0
0.5972 150.0000 28.3000 2.7000 0
0.6042 146.0000 28.3000 1.8000 0
0.6111 176.0000 28.6000 1.3000 0
0.6181 135.0000 28.7000 2.2000 0
0.6250 142.0000 28.7000 2.7000 0
0.6319 144.0000 28.6000 1.8000 0
0.6389 155.0000 28.7000 0.9000 0
0.6458 169.0000 28.9000 1.3000 0
0.6528 193.0000 29.1000 0.4000 0
0.6597 156.0000 29.0000 0.9000 0
0.6667 132.0000 28.5000 1.3000 0
0.6736 140.0000 28.2000 1.3000 0
0.6806 139.0000 28.0000 3.6000 0
0.6875 122.0000 27.8000 2.2000 0
0.6944 123.0000 27.7000 2.7000 0
0.7014 122.0000 27.4000 2.7000 0
0.7083 127.0000 27.3000 2.2000 0
0.7153 133.0000 27.3000 3.1000 0
0.7222 100.0000 27.2000 1.8000 0
