Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete
[4]	[[22.113238, 27.286762]]	0	1.0	1.0	1	508.57176522754907	99995	39	0.16666666666666666	503.26838316804543	20770	20770	891	891	1
[4]	[[19.334864, 30.065136]]	0	1.0	1.0	3	519.3964562126564	99995	39	0.16666666666666666	1560.545888496827	45880	45880	1969	1969	1
[1, 4]	[[349.79999999999995, 112.0], [27.885067999999997, 41.681132]]	0	0.1	1.0	1	2.0220441599999996	67	67	0.3333333333333333	2.0220441599999996	0	0	0	0	1
[1, 5, 4, 3, 2]	[[242.4215389348684, 317.4], [61.51558349999999, 170.6048165], [31.035572000000002, 38.316828], [-0.36000000000000004, 1.1700000000000002], [24.381, 21.13]]	1	0.04285714285714286	0.42857142857142855	1	5.84	129	129	0.8333333333333334	5.84	0	0	0	0	1
[1, 3, 4, 5]	[[344.0, 818.0], [2.016, 3.3840000000000003], [27.764028000000003, 23.13582], [53.576444499999994, 178.6299555]]	0	0.1	1.0	1	7.4	163	163	0.6666666666666666	7.4	0	0	0	0	1
[5, 4, 1]	[[88.36823199999999, 279.939568], [34.408518, 23.13582], [522.8, 1060.4]]	1	0.04000000000000001	0.4	1	5.8	180	180	0.5	5.8	0	0	0	0	1
[5, 1]	[[247.95731527140023, 279.026351], [424.6, 872.6]]	0	0.09712230215827339	0.9712230215827338	1	33.13727339835326	443	443	0.3333333333333333	33.13727339835326	0	0	0	0	1
[4]	[[19.30358, 27.540724]]	0	1.0	1.0	7	503.79848762126574	99995	542	0.16666666666666666	3470.6709583575944	24386	24386	1052	1052	1
[1, 4, 5]	[[472.0999999999999, 1222.5], [34.408518, 23.13582], [86.55318399999999, 256.838816]]	1	0.045454545454545456	0.45454545454545453	1	21.9546112	630	630	0.5	21.9546112	0	0	0	0	1
[1, 5, 4]	[[472.0999999999999, 1222.5], [88.36823199999999, 290.91239188546257], [34.408518, 23.13582]]	1	0.045454545454545456	0.45454545454545453	1	21.9546112	630	630	0.5	21.9546112	0	0	0	0	1
[1]	[[12.0, 359.2]]	0	0.9913080918166896	0.9913080918166896	5	516.0176660846527	99995	1018	0.16666666666666666	2557.950516286349	73676	74322	3193	3221	1
[1, 5, 2, 4, 0, 3]	[[317.4, 776.6], [61.51558349999999, 170.6048165], [21.339000000000002, 21.13], [31.035572000000002, 40.164242], [5.512628500000001, 14.020771499999999], [1.314, 2.286]]	1	0.026086956521739132	0.2608695652173913	1	79.35104561417549	1322	1322	1.0	79.35104561417549	0	0	0	0	1
[5, 4, 1]	[[88.36823199999999, 279.939568], [34.408518, 23.13582], [215.60000000000002, 943.6]]	1	0.05342465753424658	0.5342465753424658	1	139.2359598672003	2934	2934	0.5	139.2359598672003	0	0	0	0	1
[1]	[[-112.0, 194.8]]	0	1.0	1.0	2	530.8651902116773	99995	4206	0.16666666666666666	1088.4667490804552	49433	49433	2215	2215	1
[4]	[[19.30358, 30.278202]]	0	1.0	1.0	1	519.5124004715535	99995	6451	0.16666666666666666	520.3631257368024	45484	45484	2086	2086	1
[1]	[[-112.0, 212.50000000000003]]	0	1.0	1.0	3	530.3972436488027	99995	7073	0.16666666666666666	1629.2727806308797	54718	54718	2527	2527	1
[3]	[[0.7859999999999999, 1.794]]	0	0.990024758692454	0.990024758692454	3	493.59579057328585	99979	8017	0.16666666666666666	1439.6052683122775	27591	27869	1287	1300	1
[1]	[[-112.0, 201.70000000000002]]	0	1.0	1.0	4	530.7797153695669	99995	8469	0.16666666666666666	2176.0987829059272	49921	49921	2341	2341	1
[5]	[[3.645287500000002, 70.16311250000001]]	0	0.9904962698670127	0.9904962698670127	9	516.602292899914	99995	10297	0.16666666666666666	4612.5322439050415	61074	61660	2921	2949	1
[4]	[[23.84013, 27.452886]]	0	1.0	1.0	2	517.8392235861827	99995	13482	0.16666666666666666	1035.4975737068212	14122	14122	701	701	1
[4]	[[26.227608, 32.359192]]	0	0.9926221648173154	0.9926221648173154	6	520.883438426915	99995	15450	0.16666666666666666	3110.9465440654094	50722	51099	2574	2593	1
[1]	[[-69.4, 210.6]]	0	1.0	1.0	3	530.7436981261237	99995	17654	0.16666666666666666	1631.8102890096943	47649	47649	2483	2483	1
[4, 5]	[[28.050742, 32.213832841605566], [97.02636650000001, 254.00843350000002]]	0	1.0	1.0	5	438.15806665267803	99911	21677	0.3333333333333333	2190.79033326339	4250	4250	233	233	1
[1]	[[-112.0, 213.0]]	0	1.0	1.0	8	530.3967008131486	99995	22439	0.16666666666666666	4344.716812756809	45827	45827	2535	2535	1
[4]	[[26.594438, 31.767962]]	0	0.993082876906066	0.993082876906066	3	527.9185118263438	99995	23033	0.16666666666666666	1596.6944052324827	38620	38889	2152	2167	1
[4]	[[38.316828, 41.96384]]	1	1.0	1.0	4	192.73939452195071	98806	24126	0.16666666666666666	770.9575780878029	69	69	4	4	1
[1]	[[-112.0, 183.20000000000002]]	0	1.0	1.0	1	530.8413280827438	99995	24274	0.16666666666666666	544.175117389511	35168	35168	1994	1994	1
[4]	[[23.34445, 28.13475]]	0	1.0	1.0	3	512.8619249486123	99995	27928	0.16666666666666666	1529.9152731966205	15105	15105	900	900	1
[4]	[[24.846942359678803, 28.236234]]	0	1.0	1.0	4	522.1972010176644	99995	28384	0.16666666666666666	2098.232506360402	11183	11183	671	671	1
[4]	[[22.851484, 29.749516]]	0	1.0	1.0	3	529.0540832360123	99995	28579	0.16666666666666666	1605.8160151688073	26984	26984	1622	1622	1
[4, 2, 0]	[[33.11150463839297, 38.316828], [23.697499999999998, 24.784], [7.785387500000001, 10.7812125]]	1	1.0	1.0	5	470.5256548258624	99491	28790	0.5	2352.6282741293116	298	298	18	18	1
[4]	[[22.637906276544086, 30.28835]]	0	1.0	1.0	3	529.160325988009	99995	29239	0.16666666666666666	1606.3140280687921	31808	31808	1929	1929	1
[4, 3, 0, 5]	[[37.814711927502586, 40.275458], [-0.36000000000000004, 0.6300000000000001], [7.723552754353199, 14.106994], [114.227758, 26.60713]]	1	0.1	1.0	1	299.38800128	31921	31921	0.6666666666666666	299.38800128	0	0	0	0	1
[5]	[[-2.620469, 66.558069]]	0	0.9924724474942815	0.9924724474942815	5	518.2446583855907	99995	32810	0.16666666666666666	2567.1076463084814	47728	48090	3049	3072	1
[4]	[[27.60119, 31.4744]]	0	0.9948768617118601	0.9948768617118601	3	529.9197456764666	99939	33862	0.16666666666666666	1582.94904628675	27187	27327	1763	1772	1
[4, 0, 1]	[[32.462669999999996, 35.01605305241464], [13.0989545, 14.497837986273796], [338.6, 965.8000000000001]]	0	1.0	1.0	2	403.7125064384512	99781	34318	0.5	807.4250128769024	719	719	47	47	1
[4, 5]	[[28.782070072498083, 32.213832841605566], [97.02636650000001, 254.00843350000002]]	0	1.0	1.0	1	438.7735615057598	99911	34794	0.3333333333333333	438.7735615057598	3072	3072	202	202	1
[4, 1]	[[28.911126953547278, 32.213832841605566], [505.29999999999995, 785.3]]	0	1.0	1.0	3	428.3927555299097	99911	35298	0.3333333333333333	1285.1782665897292	1691	1691	112	112	1
[4, 2, 0]	[[32.535826, 38.316828], [19.576, 24.5625], [7.7655545, 11.0010455]]	1	1.0	1.0	1	447.54960748402857	99796	35409	0.5	447.54960748402857	316	316	21	21	1
